Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes,Observation_Year,Observation_Month,Observation_Day
535,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.13,12.3,Subadult,Unknown,2005-05-14,Congo (DRC),Slow Streams,Data Deficient,Gina Pace,Law foreign court bill organization.,2005,5,14
536,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.96,385.8,Subadult,Male,2009-09-26,Venezuela,Large Rivers,Critically Endangered,Richard Lee,Call meeting green loss per control case analysis camera once message prepare group.,2009,9,26
537,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.35,87.5,Subadult,Unknown,2018-07-02,Guatemala,Rivers,Least Concern,Kimberly Thomas,Final garden hard account only question arm medical strong teach instead crime.,2018,7,2
538,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.0,37.4,Juvenile,Unknown,2009-03-22,Papua New Guinea,Freshwater Wetlands,Least Concern,Terry Glover,Country little reality level realize system not friend federal forget bit then treat.,2009,3,22
539,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.41,93.5,Subadult,Male,2007-08-13,Cuba,Freshwater Wetlands,Critically Endangered,Thomas Fowler DDS,Perhaps dream same weight former science day contain wrong guy available air boy fact create.,2007,8,13
540,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.41,106.9,Adult,Male,2012-06-27,Cameroon,Forest Rivers,Endangered,Pamela Williams,Current exist despite energy company suggest early.,2012,6,27
541,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.78,127.4,Subadult,Unknown,2025-12-23,Malaysia (Borneo),Rivers,Data Deficient,Christopher Green,Again quality her skin.,2025,12,23
542,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.97,10.4,Adult,Male,2016-02-06,Ghana,Small Streams,Vulnerable,Timothy Torres,Hard head commercial money sometimes perhaps its represent budget third capital.,2016,2,6
543,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.25,77.0,Juvenile,Unknown,2024-02-22,Malaysia (Borneo),Rivers,Data Deficient,Joseph Benson,Outside with each animal pattern country movement smile foreign apply.,2024,2,22
544,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.61,136.8,Adult,Female,2020-06-29,Senegal,Rivers,Least Concern,Shelley York,Though decide bank likely professional ask meet seem population meeting material less focus hear reason resource manager.,2020,6,29
545,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.17,81.4,Subadult,Male,2013-01-18,Cuba,Swamps,Critically Endangered,James Morse,Power debate thus later doctor despite interesting help church successful.,2013,1,18
546,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.42,110.1,Juvenile,Female,2022-04-04,Venezuela,Flooded Savannas,Critically Endangered,Bradley Walton,Know goal once let perform international level.,2022,4,4
547,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.6,28.3,Adult,Male,2007-05-18,Ghana,Forest Swamps,Vulnerable,Robert Stewart,Agent kid enter away top family maybe national back everybody direction budget growth national free.,2007,5,18
548,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.79,904.4,Adult,Unknown,2014-11-26,Philippines,Coastal Wetlands,Least Concern,Danielle Mcgee,Course page case talk respond myself.,2014,11,26
549,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.73,108.8,Subadult,Female,2012-08-28,Cuba,Freshwater Wetlands,Critically Endangered,Randy Campbell,Situation identify if oil pretty line mention.,2012,8,28
550,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.66,115.8,Adult,Female,2022-08-28,Thailand,Slow Rivers,Critically Endangered,Brittany Sanders,Rich decide do only need light sport future beat suffer.,2022,8,28
551,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.44,200.8,Adult,Unknown,2023-01-31,Indonesia (Borneo),Rivers,Data Deficient,Tom Butler,Last next hear officer campaign wall act special strong fund industry rate.,2023,1,31
552,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.72,96.3,Adult,Male,2025-03-30,Papua New Guinea,Rivers,Least Concern,Richard Medina,Only nothing allow cause with yes nothing sometimes trial off hospital high we as.,2025,3,30
553,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.96,57.1,Subadult,Unknown,2018-09-10,Australia,Gorges,Least Concern,John Murphy,Police fight commercial push concern step owner agree current treat history day fact modern.,2018,9,10
554,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.78,154.3,Subadult,Male,2024-10-04,Liberia,Shaded Forest Rivers,Critically Endangered,Jacob Smith,Teacher improve church book movie long.,2024,10,4
555,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.54,27.4,Adult,Male,2005-07-11,Congo (DRC),Slow Streams,Data Deficient,Troy Glenn,That finally stand professor city offer.,2005,7,11
556,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,0.39,18.0,Hatchling,Female,2017-11-03,Australia,Billabongs,Least Concern,Dale Moran,Every account central ask human space moment travel these least office say.,2017,11,3
557,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.65,249.9,Adult,Unknown,2010-03-31,Nepal,Reservoirs,Vulnerable,Stanley Bryant,Hospital statement sure indeed conference pay it his probably.,2010,3,31
558,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,3.1,156.3,Adult,Female,2015-03-11,Cuba,Freshwater Wetlands,Critically Endangered,Anna Hale,Dream that event physical factor trouble recently.,2015,3,11
559,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.52,100.7,Subadult,Female,2014-11-15,Malaysia (Borneo),Estuarine Systems,Data Deficient,Claudia Snyder,Building hard sense mean single improve close debate and ago.,2014,11,15
560,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.7,115.8,Adult,Unknown,2009-10-08,Cuba,Swamps,Critically Endangered,Megan Murray,Second talk however action boy true.,2009,10,8
561,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,4.24,444.1,Subadult,Female,2005-08-18,Venezuela,Large Rivers,Critically Endangered,Paul Washington,Bar prevent require just likely evidence claim stuff.,2005,8,18
562,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.18,542.3,Subadult,Female,2022-07-11,Papua New Guinea,Coastal Wetlands,Least Concern,Cassandra Martinez,Collection provide action event key concern research throughout.,2022,7,11
563,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.76,126.3,Subadult,Female,2013-09-08,Cuba,Swamps,Critically Endangered,Jessica Williams,Political respond to hospital final appear above significant short up hear draw before.,2013,9,8
564,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.33,5.5,Juvenile,Unknown,2011-12-06,Congo (DRC),Forest Swamps,Data Deficient,William Rogers,Quite as when benefit structure professional right.,2011,12,6
565,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.35,20.1,Adult,Male,2019-10-07,Congo (DRC),Forest Swamps,Data Deficient,Jose Ochoa,No couple debate must voice building degree ground community I.,2019,10,7
566,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,0.41,17.5,Hatchling,Female,2009-01-18,Philippines,Freshwater Marshes,Critically Endangered,James Ellis,Price everything perhaps analysis those in should matter wrong.,2009,1,18
567,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.03,68.5,Juvenile,Male,2018-10-13,Indonesia (Papua),Lakes,Least Concern,Raven Nielsen,Commercial where outside wonder recent question win.,2018,10,13
568,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.4,765.7,Adult,Male,2006-03-01,India,Mangroves,Least Concern,Evelyn Reid,Within project attack adult treatment large memory score me.,2006,3,1
569,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.47,34.5,Hatchling,Male,2011-01-14,Congo Basin Countries,Forest Rivers,Endangered,Alexis Smith,Final scene serious people art hear.,2011,1,14
570,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.4,24.2,Adult,Male,2013-05-17,Congo (DRC),Forest Swamps,Data Deficient,Christian Harris,Draw rise write kitchen theory care fish skin.,2013,5,17
571,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.2,67.4,Adult,Female,2018-05-30,Malaysia (Borneo),Estuarine Systems,Data Deficient,Ricky Perry,Seek director run garden day approach truth write soon recent.,2018,5,30
572,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.81,45.5,Subadult,Male,2021-04-06,Philippines,Rivers,Critically Endangered,Shane Boyd,Kind accept thank attorney court plant center.,2021,4,6
573,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.01,10.0,Juvenile,Female,2018-06-13,Liberia,Forest Swamps,Vulnerable,Brandon Watkins,Door back right find return each.,2018,6,13
574,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.35,507.6,Adult,Unknown,2006-09-28,Nigeria,Rivers,Least Concern,David Mitchell,Whose cut television loss week growth help likely institution participant item choose west lot seven.,2006,9,28
575,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,0.32,34.1,Hatchling,Female,2005-03-18,Mexico,Lagoons,Least Concern,Bradley Knox,Organization check risk either less.,2005,3,18
576,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,3.13,196.2,Adult,Male,2010-04-04,Vietnam,Swamps,Critically Endangered,James Obrien,Four resource cultural trouble.,2010,4,4
577,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.91,36.9,Juvenile,Unknown,2020-04-22,Thailand,Slow Rivers,Critically Endangered,Scott Cross,Man understand wait wife health majority political open.,2020,4,22
578,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.62,210.4,Subadult,Unknown,2020-03-15,Venezuela,Mangroves,Vulnerable,Andrew Dorsey,Usually class several whatever side seem give remember play happy around history interest east local.,2020,3,15
579,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.81,146.9,Subadult,Male,2020-04-03,Ghana,Swamps,Critically Endangered,Heather Mann,Recently population end lay race effect own weight.,2020,4,3
580,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.11,134.8,Adult,Male,2021-07-17,Papua New Guinea,Rivers,Least Concern,Alexandria Wise,Huge only too million country institution stop.,2021,7,17
581,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.51,124.6,Subadult,Female,2023-11-08,Nepal,Rivers,Vulnerable,Eric Ponce,Only safe sell under thank body of.,2023,11,8
582,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.82,160.9,Adult,Unknown,2018-11-24,Gabon,Forest Rivers,Endangered,Robin Adams,Us huge final would staff ability attorney recent modern pressure run.,2018,11,24
583,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.58,87.1,Subadult,Unknown,2006-04-03,Guatemala,Swamps,Least Concern,James Padilla,Main me book note defense cut seek speak.,2006,4,3
584,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.74,150.1,Adult,Female,2013-08-12,Chad,Lakes,Least Concern,William Savage,Phone person than coach fall help everybody garden.,2013,8,12
585,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,0.72,33.8,Juvenile,Unknown,2022-09-15,Papua New Guinea,Rivers,Least Concern,Karen Chambers,Act entire western program smile.,2022,9,15
586,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.09,11.0,Adult,Male,2007-11-12,Liberia,Small Streams,Vulnerable,Daniel Conner,Owner would seven usually list front investment he three yourself stage wait professor her arm.,2007,11,12
587,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,0.49,32.2,Hatchling,Male,2010-04-29,Papua New Guinea,Rivers,Least Concern,Gary Garcia,That I structure understand agent but most week seem eat later rather.,2010,4,29
588,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.05,71.9,Subadult,Unknown,2012-07-12,Philippines,Rivers,Critically Endangered,Kayla Keller,Worry whatever spend admit growth animal.,2012,7,12
589,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.9,428.9,Subadult,Unknown,2013-06-07,Venezuela,Flooded Savannas,Critically Endangered,Erika Wallace,Machine school soldier give voice walk live probably record beyond.,2013,6,7
590,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.37,601.3,Adult,Male,2005-09-01,Uganda,Lakes,Least Concern,Lawrence Joseph,Then size respond all marriage beautiful strategy you would level to western.,2005,9,1
591,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.25,102.9,Juvenile,Male,2005-06-21,Venezuela,Flooded Savannas,Critically Endangered,Mr. David Jackson,Black year ahead upon.,2005,6,21
592,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.39,98.6,Adult,Female,2024-09-13,Papua New Guinea,Lakes,Least Concern,James Ramirez,Program week provide program two plant man.,2024,9,13
593,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,0.46,36.7,Hatchling,Unknown,2011-08-07,Cuba,Swamps,Critically Endangered,Faith Walker,Short over popular help response save high politics no task speak.,2011,8,7
594,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.99,779.4,Subadult,Unknown,2018-10-17,Australia,Mangroves,Least Concern,Brian Miller,Future or could walk of camera finish herself say.,2018,10,17
595,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.32,102.4,Subadult,Unknown,2016-02-06,Chad,Lakes,Least Concern,Kevin Lee,Woman floor half quickly someone mind own develop house Mrs leave certain wall.,2016,2,6
596,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.31,514.4,Subadult,Female,2010-09-17,Philippines,Estuaries,Least Concern,Kathryn Bryant,Exist section support still alone floor maybe read event summer.,2010,9,17
597,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.97,168.8,Subadult,Female,2013-07-30,Mexico,Estuaries,Vulnerable,Lynn Lewis,Region heavy wonder four still decision run special red apply tend condition.,2013,7,30
598,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.78,121.0,Subadult,Female,2005-11-10,Iran (historic),Rivers,Vulnerable,Mr. William Hopkins,Yard nature front question wrong serious hospital month.,2005,11,10
599,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.16,25.5,Juvenile,Unknown,2021-08-05,Philippines,Freshwater Marshes,Critically Endangered,Michael Lee,Hour capital sell oil source sure report leader clear case receive fact certain.,2021,8,5
600,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.63,97.4,Adult,Female,2019-09-03,Australia,Billabongs,Least Concern,Paul Moss,Gun task big size teach.,2019,9,3
601,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.57,217.9,Subadult,Male,2012-01-09,Sri Lanka,Marshes,Vulnerable,William Shelton,Unit benefit wind conference appear woman practice order wide.,2012,1,9
602,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.08,66.9,Subadult,Unknown,2023-09-18,Philippines,Rivers,Critically Endangered,Jennifer Johnson,However few other common seat simply yard provide.,2023,9,18
603,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.6,101.0,Adult,Unknown,2022-08-13,Indonesia (Borneo),Rivers,Data Deficient,John Meyers,Every president happen build bar majority protect meeting.,2022,8,13
604,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.24,38.1,Juvenile,Female,2017-10-10,Indonesia (Papua),Rivers,Least Concern,Kenneth Armstrong,Really behind or himself yourself reflect fear by foot.,2017,10,10
605,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,0.37,78.9,Hatchling,Female,2011-05-15,Cuba,Estuaries,Vulnerable,Shannon Medina,Spend after new movie speech major million once research so buy.,2011,5,15
606,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.97,11.3,Subadult,Male,2007-12-01,Sierra Leone,Small Streams,Vulnerable,Tracie Merritt,Television receive accept language fire always offer present because.,2007,12,1
607,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.95,80.8,Subadult,Female,2006-06-09,Gabon,Forest Rivers,Endangered,Paul Miller,Media hair name institution war a feel watch mind situation.,2006,6,9
608,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.85,122.1,Subadult,Unknown,2023-11-25,Indonesia (Papua),Swamps,Least Concern,Jill Ray,Mission worry goal Mrs decide between standard down.,2023,11,25
609,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,1.67,49.8,Juvenile,Male,2010-05-18,Indonesia (Borneo),Estuarine Systems,Data Deficient,Elijah Wall,Own democratic grow campaign performance avoid effort high tough hundred.,2010,5,18
610,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.34,65.2,Subadult,Female,2006-09-19,Australia,Gorges,Least Concern,David Coleman,Movie audience run yet recent cover head price.,2006,9,19
611,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.94,122.6,Adult,Unknown,2015-05-12,Malaysia (Borneo),Estuarine Systems,Data Deficient,Lisa Barnes,First skin her who easy establish mother range image.,2015,5,12
612,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.31,79.3,Adult,Female,2015-05-08,Philippines,Freshwater Marshes,Critically Endangered,Brandon Blankenship,Chair something event better woman develop weight situation but money then open southern.,2015,5,8
613,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.61,210.9,Adult,Unknown,2007-04-04,Sri Lanka,Reservoirs,Vulnerable,Gregory Armstrong,Necessary parent to color water hope.,2007,4,4
614,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.42,25.3,Adult,Female,2020-08-17,Congo (DRC),Forest Swamps,Data Deficient,Patrick Faulkner,Necessary think I or else rather require price central nothing environment truth police have since.,2020,8,17
615,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.68,36.8,Juvenile,Male,2014-06-17,Australia,Freshwater Rivers,Least Concern,Jennifer Ellis,Worry sometimes maybe every into walk thing sport figure teach water image.,2014,6,17
616,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.3,78.4,Adult,Unknown,2009-08-24,Philippines,Rivers,Critically Endangered,Brandon Miller,War close arm sea never manage.,2009,8,24
617,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.09,145.8,Subadult,Female,2019-07-31,Iran (historic),Reservoirs,Vulnerable,Tonya Coleman,Usually carry marriage rate quality mother by.,2019,7,31
618,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.6,130.0,Subadult,Unknown,2020-08-14,Colombia,Estuaries,Vulnerable,Connor Guerra,Research reflect see each school week.,2020,8,14
619,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.66,351.5,Subadult,Female,2016-06-18,Venezuela,Large Rivers,Critically Endangered,Shirley Rice,Amount large collection us shake tough company happen card government anything many.,2016,6,18
620,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.69,738.4,Adult,Male,2008-02-01,Tanzania,Reservoirs,Least Concern,Wayne Morgan,Story surface tax face low enter able piece hour.,2008,2,1
621,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.29,84.4,Adult,Unknown,2024-09-05,Philippines,Freshwater Marshes,Critically Endangered,Tanya Haley,Stay along leg pay major green past forget government accept three control.,2024,9,5
622,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.95,67.5,Subadult,Female,2012-09-08,Papua New Guinea,Lakes,Least Concern,Brian Vasquez,More together improve tree according show economic likely hear.,2012,9,8
623,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.44,509.4,Subadult,Female,2006-07-28,India,Estuaries,Least Concern,Steven Herrera,Board just style class government its grow.,2006,7,28
624,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.62,38.9,Adult,Female,2021-04-06,Philippines,Rivers,Critically Endangered,Christina Lopez,Card inside former all program.,2021,4,6
625,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.0,60.9,Adult,Female,2024-05-05,Philippines,Freshwater Marshes,Critically Endangered,Tina Bird,Inside nearly son research foot share think maybe.,2024,5,5
626,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.04,75.6,Juvenile,Female,2014-08-03,Mali,Lakes,Least Concern,Sarah Price,Whatever society call general add range appear stop involve others.,2014,8,3
627,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.82,117.4,Adult,Female,2006-08-13,Cuba,Freshwater Wetlands,Critically Endangered,John Campbell,Set easy check memory economic short ten yes easy.,2006,8,13
628,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.23,87.7,Subadult,Unknown,2013-05-15,Philippines,Rivers,Critically Endangered,Christina Mccarthy,Red maybe Congress yeah option play director.,2013,5,15
629,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.71,275.8,Subadult,Unknown,2020-11-27,Colombia,Mangroves,Vulnerable,Andrew Mooney,International pattern before anything.,2020,11,27
630,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.4,109.3,Subadult,Female,2010-07-20,Sudan,Oases,Least Concern,Eric Schultz,Develop international article interview appear body hair.,2010,7,20
631,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.39,381.1,Adult,Male,2016-08-18,Uganda,Reservoirs,Least Concern,Michelle Wright,Consider a produce focus experience.,2016,8,18
632,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.83,125.6,Adult,Unknown,2024-07-02,Indonesia (Borneo),Rivers,Data Deficient,Lawrence Jordan,Way hair fight best add necessary technology former scientist guess.,2024,7,2
633,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.35,44.0,Juvenile,Unknown,2014-05-16,Cuba,Swamps,Critically Endangered,Kendra Watson,Decide himself thought candidate sea build only treatment pressure couple relate.,2014,5,16
634,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.08,134.5,Juvenile,Male,2006-04-29,Venezuela,Large Rivers,Critically Endangered,Angela Payne,Feeling listen set move child campaign industry represent through service.,2006,4,29
635,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,0.91,29.3,Juvenile,Male,2018-02-19,Indonesia (Borneo),Estuarine Systems,Data Deficient,Kristina Reed,Large response treat attack industry use mean against out recent can animal not.,2018,2,19
636,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.76,51.2,Adult,Female,2025-11-27,Belize,Rivers,Least Concern,Melissa Yang,Manager mouth message avoid just meeting none hope parent deal about occur.,2025,11,27
637,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.68,118.3,Subadult,Female,2024-08-01,Malaysia (Borneo),Rivers,Data Deficient,Alexa Mcfarland,Lay remain modern field detail remain need.,2024,8,1
638,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,1.33,55.6,Juvenile,Female,2016-07-20,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered,Angel Allen,Policy walk everyone.,2016,7,20
639,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.56,95.7,Subadult,Unknown,2022-10-23,Papua New Guinea,Swamps,Least Concern,Shane Williams,Writer decide break possible plan win foot watch this enough.,2022,10,23
640,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.68,134.5,Adult,Unknown,2005-09-18,Cameroon,Swamps,Endangered,Steven Phillips,Personal action green room.,2005,9,18
641,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.13,60.4,Adult,Male,2009-09-30,Australia,Gorges,Least Concern,David Smith,Blood second high president thank plant nearly stage determine.,2009,9,30
642,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.88,141.9,Adult,Male,2021-02-17,Belize,Lagoons,Least Concern,Kevin Morton,Choose discussion risk happy total behavior consider continue television country make role positive again.,2021,2,17
643,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.16,73.6,Subadult,Unknown,2006-06-14,Guatemala,Rivers,Least Concern,Christopher Long,Could century interview lawyer population I right case seek activity between himself body add store various.,2006,6,14
644,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,1.18,40.5,Juvenile,Male,2021-09-13,Mali,Oases,Least Concern,Randy Adams,Outside society act social my stand system be cause service throughout spring film look during.,2021,9,13
645,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,3.38,203.8,Adult,Female,2022-04-20,Cuba,Freshwater Wetlands,Critically Endangered,Debra Stephens,Stay bill father memory student center treatment agency.,2022,4,20
646,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.42,223.3,Adult,Unknown,2005-10-09,Iran (historic),Reservoirs,Vulnerable,Charles Rios,Tv range rather resource top man yard different.,2005,10,9
647,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.29,15.6,Adult,Female,2008-06-04,Cameroon,Forest Swamps,Vulnerable,Diane Jones,Brother type turn time page concern most outside quickly.,2008,6,4
648,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,1.28,298.1,Juvenile,Female,2020-03-16,Papua New Guinea,Tidal Rivers,Least Concern,Michael Turner,Give billion trouble product usually specific represent baby able value chance.,2020,3,16
649,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.42,111.8,Adult,Male,2007-12-09,Niger,Oases,Least Concern,Erica Myers,Spring both into risk certain follow camera.,2007,12,9
650,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,0.8,24.0,Juvenile,Unknown,2019-08-10,Australia,Billabongs,Least Concern,Heather Snyder,Really including soldier four soon president early industry.,2019,8,10
651,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.42,107.5,Subadult,Male,2016-07-24,Cuba,Swamps,Critically Endangered,Joseph Patel PhD,Base resource money since specific despite beautiful gun.,2016,7,24
652,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,1.74,63.9,Juvenile,Unknown,2019-10-09,Mali,Lakes,Least Concern,Samuel Cox,Whatever TV arrive glass support term standard far century table will tree drug still.,2019,10,9
